team,wins,losses,division,conference
BOSTON CELTICS,57,25,ATLANTIC,EASTERN
PHILADELPHIA 76ERS,54,28,ATLANTIC,EASTERN
NEW YORK KNICKS,47,35,ATLANTIC,EASTERN
BROOKLYN NETS,45,37,ATLANTIC,EASTERN
TORONTO RAPTORS,41,41,ATLANTIC,EASTERN
MILWAUKEE BUCKS,58,24,CENTRAL,EASTERN
CLEVELAND CAVALIERS,51,31,CENTRAL,EASTERN
CHICAGO BULLS,40,42,CENTRAL,EASTERN
INDIANA PACERS,35,47,CENTRAL,EASTERN
DETROIT PISTONS,17,65,CENTRAL,EASTERN
MIAMI HEAT,44,38,SOUTHEAST,EASTERN
ATLANTA HAWKS,41,41,SOUTHEAST,EASTERN
WASHINGTON WIZARDS,35,47,SOUTHEAST,EASTERN
ORLANDO MAGIC,34,48,SOUTHEAST,EASTERN
CHARLOTTE HORNETS,27,55,SOUTHEAST,EASTERN
DENVER NUGGETS,53,29,NORTHWEST,WESTERN
MINNESOTA TIMBERWOLVES,42,40,NORTHWEST,WESTERN
OKLAHOMA CITY THUNDER,40,42,NORTHWEST,WESTERN
UTAH JAZZ,37,45,NORTHWEST,WESTERN
PORTLAND TRAIL BLAZERS,33,49,NORTHWEST,WESTERN
SACRAMENTO KINGS,48,34,PACIFIC,WESTERN
PHOENIX SUNS,45,37,PACIFIC,WESTERN
LOS ANGELES CLIPPERS,44,38,PACIFIC,WESTERN
GOLDEN STATE WARRIORS,44,38,PACIFIC,WESTERN
LOS ANGELES LAKERS,43,39,PACIFIC,WESTERN
MEMPHIS GRIZZLIES,51,31,SOUTHWEST,WESTERN
NEW ORLEANS PELICANS,42,40,SOUTHWEST,WESTERN
DALLAS MAVERICKS,38,44,SOUTHWEST,WESTERN
HOUSTON ROCKETS,22,60,SOUTHWEST,WESTERN
SAN ANTONIO SPURS,22,60,SOUTHWEST,WESTERN
